,teamname,league,result,firstdragon,firstherald,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons,heralds,firsttower,dragon_buff,infernal_buff,mountain_buff,cloud_buff,ocean_buff,chemtech_buff,hextech_buff,herald_firsttower
1139,Grypciocraft Esports,UL,1,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,1,0,0,0,1,0,0,1
1150,Joblife,LFL2,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0,0,0,0,0,0,0,0
1151,MS Company,LFL2,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0
1162,Giants,LVP SL,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
1163,Fnatic TQ,LVP SL,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0,0,0,0,0,0,0,1
1174,Dplus KIA,LCK,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0,0,0,0,0,0,0,1
1175,DRX,LCK,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
1186,Dplus KIA,LCK,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0
1187,DRX,LCK,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0,0,0,0,0,0,0,1
1222,T1,LCK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0
1223,Gen.G,LCK,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0,0,0,0,0,0,0,0
1246,T1,LCK,1,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0
1247,Gen.G,LCK,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0
1294,Iron Wolves,UL,1,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1,1,0,0,0,0,0,0
1295,Grypciocraft Esports,UL,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0
1306,Komil & Friends,UL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0
1307,Goskilla,UL,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,1,0,0,0,0,0,1,1
1318,Team BDS Academy,LFL,0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,0,0,0,0,0,0,0,0
1319,LDLC OL,LFL,1,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0
1330,Maturalni Forsaken,UL,1,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1,0,0,0,0,1,0,0
1331,Team ESCA Gaming,UL,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,0,0,0,0,0,1
1342,BK ROG Esports,LFL,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
1343,Solary,LFL,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0,0,0,0,0,0,0,1
1354,Vitality.Bee,LFL,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0,1
1355,Aegis,LFL,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0
1366,Zero Tenacity,UL,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0
1367,Alior Bank Team,UL,1,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,1,0,1,0,0,0,0,0
1378,exeed,UL,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0,0,0,0,0,0,0,0
1379,Illuminar Gaming,UL,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0
1390,Team GO,LFL,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0,0,0,0,0,0,0,1
